OBJECTID,County,LocalParcelID,StateParcelID,Name,Situs Address All,Owner All,Mail Address,Mail State,AgencyName,Calculated Acreage,Auditor Link
9089,Franklin,520-168749,39049-520-168749,,,,,,TRANSPORTATION,0.0821366789597975,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/520-168749
9090,Franklin,010-159030,39049-010-159030,,,,,,HIGHER EDUCATION,21.6150397870611,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-159030
9091,Franklin,010-204001,39049-010-204001,,,,,,HIGHER EDUCATION,5.11394581944819,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-204001
9092,Franklin,130-003402,39049-130-003402,,,,,,HIGHER EDUCATION,0.130443445477504,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/130-003402
9093,Franklin,010-085523,39049-010-085523,,,,,,ROW,7.28993494503953,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-085523
9094,Franklin,010-013174,39049-010-013174,,,,,,FACILITIES COMMISSION,1.04693871829484,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-013174
9095,Franklin,130-004077,39049-130-004077,,,,,,HIGHER EDUCATION,0.262782323183959,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/130-004077
9096,Franklin,010-204016,39049-010-204016,,,,,,HIGHER EDUCATION,0.0827277286401338,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-204016
9097,Franklin,010-203983,39049-010-203983,,,,,,HIGHER EDUCATION,3.09361749766214,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-203983
9098,Franklin,010-276441,39049-010-276441,,,,,,EXPOSITION COMMISSION,1.61862699648265,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-276441
9099,Franklin,010-005929,39049-010-005929,,,,,,TRANSPORTATION,0.043765664240945,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-005929
9100,Franklin,010-043417,39049-010-043417,,,,,,HIGHER EDUCATION,0.119547937410123,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-043417
9101,Franklin,010-046613,39049-010-046613,,,,,,HIGHER EDUCATION,0.302154951335913,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-046613
9102,Cuyahoga,26317901H,39035-26317901H,,,,,,TURNPIKE,4.44519650727449,
9103,Cuyahoga,12221003H,39035-12221003H,,,,,,ROW,0.823903588208592,
9104,Hamilton,0160003014100,39061-0160003014100,,,,,,TRANSPORTATION,0.0116498034863166,https://wedge1.hcauditor.org/view/re/0160003014100
9105,Hamilton,1870007006800,39061-1870007006800,,,,,,ROW,0.0820056718192294,https://wedge1.hcauditor.org/view/re/1870007006800
9106,Hamilton,1380004025300,39061-1380004025300,,,,,,TRANSPORTATION,0.0569629867426538,https://wedge1.hcauditor.org/view/re/1380004025300
9107,Harrison,020000258000,39067-020000258000,,,,,,NATURAL RESOURCES,83.7867328813624,
9108,Harrison,110000094004,39067-110000094004,,,,,,TRANSPORTATION,5.29107131106845,
9109,Harrison,190000071000,39067-190000071000,,,,,,ROW,3.92010162276015,
9110,Harrison,110000680000,39067-110000680000,,,,,,PUBLIC SAFETY,0.983670333515934,
9111,Harrison,040000045001,39067-040000045001,,,,,,TRANSPORTATION,34.4094037755468,
9112,Harrison,200000813000,39067-200000813000,,,,,,TRANSPORTATION,0.235721828139726,
9113,Harrison,170000844000,39067-170000844000,,,,,,NATURAL RESOURCES,1.39936695283944,
9114,Franklin,010-010675,39049-010-010675,,,,,,HIGHER EDUCATION,0.0433719600454535,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-010675
9115,Franklin,010-046466,39049-010-046466,,,,,,HIGHER EDUCATION,0.136311494283284,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-046466
9116,Franklin,010-000046,39049-010-000046,,,,,,HIGHER EDUCATION,0.161675661782262,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-000046
9117,Franklin,010-067008,39049-010-067008,,,,,,ADMINISTRATIVE SERVICES,9.93781864765495,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-067008
9118,Franklin,180-003936,39049-180-003936,,,,,,TRANSPORTATION,0.604178376688381,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/180-003936
9119,Franklin,190-000213,39049-190-000213,,,,,,TRANSPORTATION,2.36029522002287,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/190-000213
9120,Franklin,010-122521,39049-010-122521,,,,,,ADJUTANT GENERAL,3.75154746640905,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-122521
9121,Franklin,570-158025,39049-570-158025,,,,,,TRANSPORTATION,0.294020944896499,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/570-158025
9122,Franklin,010-248380,39049-010-248380,,,,,,TRANSPORTATION,0.128022934011966,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-248380
9123,Franklin,010-066012,39049-010-066012,,,,,,TRANSPORTATION,0.749976597839421,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-066012
9124,Franklin,010-159035,39049-010-159035,,,,,,HIGHER EDUCATION,11.7477244388376,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-159035
9125,Franklin,130-011707,39049-130-011707,,,,,,HIGHER EDUCATION,1.61528726256707,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/130-011707
9126,Franklin,130-011515,39049-130-011515,,,,,,HIGHER EDUCATION,0.12896600073612,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/130-011515
9127,Franklin,130-003296,39049-130-003296,,,,,,HIGHER EDUCATION,0.12902364269883,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/130-003296
9128,Franklin,010-204003,39049-010-204003,,,,,,HIGHER EDUCATION,0.126025056073371,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-204003
9129,Franklin,010-249122,39049-010-249122,,,,,,EXPOSITION COMMISSION,2.74305903430316,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-249122
9130,Franklin,010-049626,39049-010-049626,,,,,,HIGHER EDUCATION,0.569215004041062,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-049626
9131,Franklin,010-056855,39049-010-056855,,,,,,HIGHER EDUCATION,0.153797971382742,https://audr-apps.franklincountyohio.gov/redir/Link/Parcel/010-056855
9132,Fulton,18-000000-00.000,39051-18-000000-00.000,,,,,,NATURAL RESOURCES,0.147525587356852,
9133,Hamilton,1450004007300,39061-1450004007300,,,,,,ROW,0.14622504553215,https://wedge1.hcauditor.org/view/re/1450004007300
